Year,WW,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,2,4.3,2.8,3.85,3.95,NULL,NULL,NULL,NULL,NULL,11
2016,3,6.114285714,3.914285714,4.771428571,6.085714286,NULL,NULL,NULL,NULL,NULL,11
2016,4,5.371428571,3.771428571,4.314285714,4.371428571,NULL,NULL,NULL,NULL,NULL,11
2016,5,2.142857143,1.228571429,1.428571429,1.571428571,NULL,NULL,NULL,NULL,NULL,11
2016,6,4.542857143,2.514285714,3.171428571,3.314285714,NULL,NULL,NULL,NULL,NULL,11
2016,7,5.085714286,3.657142857,3.857142857,4,NULL,NULL,NULL,NULL,NULL,11
2016,8,17.4,6.257142857,7.714285714,9.885714286,NULL,NULL,NULL,NULL,NULL,11
2016,9,1.828571429,0.742857143,1,1.285714286,NULL,NULL,NULL,NULL,NULL,11
2016,10,0.114285714,0.085714286,0.085714286,0.085714286,NULL,NULL,NULL,NULL,NULL,11
2016,11,5.171428571,3.257142857,4.4,5.057142857,NULL,NULL,NULL,NULL,NULL,11
2016,12,3.314285714,1.571428571,2.057142857,3.057142857,NULL,NULL,NULL,NULL,NULL,11
2016,13,2.028571429,1.628571429,2,2,NULL,NULL,NULL,NULL,NULL,11
2016,14,0,0,0,0,NULL,NULL,NULL,NULL,NULL,11
2016,15,10.02857143,5.114285714,5.885714286,8.714285714,NULL,NULL,NULL,NULL,NULL,11
2016,16,4.571428571,3.857142857,4.485714286,4.485714286,NULL,NULL,NULL,NULL,NULL,11
2016,17,4.2,3,3.8,4.2,NULL,NULL,NULL,NULL,NULL,11
2016,18,6.371428571,4.828571429,5.857142857,5.885714286,NULL,NULL,NULL,NULL,NULL,11
2016,19,0.542857143,0.542857143,0.542857143,0.542857143,NULL,NULL,NULL,NULL,NULL,11
2016,20,20.34285714,16.12857143,19.07142857,20.08571429,NULL,NULL,NULL,NULL,NULL,11
2016,21,13.11428571,10.91428571,12.31428571,12.74285714,NULL,NULL,NULL,NULL,NULL,11
2016,22,6.657142857,3.514285714,4.8,5.914285714,NULL,NULL,NULL,NULL,NULL,11
2016,23,1.714285714,1.057142857,1.285714286,1.285714286,NULL,NULL,NULL,NULL,NULL,11
2016,24,8.114285714,5.8,7,7.485714286,NULL,NULL,NULL,NULL,NULL,11
2016,25,5.742857143,3.6,4.828571429,5.085714286,NULL,NULL,NULL,NULL,NULL,11
