Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
4/19/2016,196,2,0,5,60.91666667,0,0,0,0,30.56666667,35.13333333,27.2,9.9,31.01666667,89,72,45,4
4/20/2016,193,3,0,6,62.91666667,6.9,6.5,7.725,8.45,29.1,34.05,26.05,6.533333333,31.25,89,77,59,4
4/21/2016,192,0,-1,5,57.54166667,0.04,0.05,0.05,0.05,30.08333333,34.78333333,26.73333333,8.933333333,27.66666667,89,69,40,4
4/22/2016,195,2,-1,6,57.625,8.97,6.3,7.975,8.75,29.13333333,33.91666667,26.4,6.183333333,29.4,89,76,56,4
4/23/2016,201,2,0,6,53.33333333,17.48,15.7,17.075,17.15,28.56666667,32.81666667,25.95,6.383333333,32.46666667,84,74,54,4
4/24/2016,201,3,0,8,56.41666667,2.02,0.7,0.8,0.8,29.06666667,32.91666667,26.45,6.183333333,22.93333333,94,79,58,4
4/25/2016,201,4,0,7,43.29166667,14.61,9.4,10.875,10.975,28.18333333,33.16666667,25.15,5.5,28.21666667,94,79,56,4
4/26/2016,209,3,0,8,54.25,2.4,1.225,1.35,1.35,28.75,33.36666667,25.5,5.466666667,21.85,94,79,57,4
4/27/2016,210,4,0,7,63.04166667,13.48,11.65,13.725,14.425,28.31666667,33.81666667,25.66666667,5.4,26.18333333,100,80,54,4
4/28/2016,218,4,0,9,62.66666667,5.48,2.8,2.925,2.925,27.92,33.31666667,25.9,5.516666667,31.98333333,94,82,55,4
4/29/2016,224,3,0,8,63.04166667,10.79,7.75,9.525,10.275,27.72,33.66666667,25.25,4.966666667,30.06666667,94,77,58,4
4/30/2016,233,3,0,9,73.125,7.36,6.65,7.65,8.075,27.7,34.06666667,25,6.066666667,36.33333333,94,79,58,4
5/1/2016,233,3,0,7,73.20833333,0.04,0.05,0.05,0.05,29.275,34.11666667,25.36666667,6.466666667,23.93333333,94,75,40,4
